,Dates,Zones,Depth,No. Extremes,No. Selected,No. Detected
0,2018-12-27,Far_West,BD,47.0,163.0,5.0
1,2018-12-27,Far_West,MBD,47.0,1.0,0.0
2,2018-12-27,Far_West,DQ,47.0,81.0,4.0
3,2018-12-27,Far_West,EXD,47.0,101.0,4.0
4,2018-12-27,Far_West,LID,47.0,266.0,11.0
5,2018-12-27,Far_West,ERD,47.0,100.0,4.0
6,2018-12-27,Far_West,HMD,47.0,47.0,3.0
7,2018-12-27,Far_West,RTD,47.0,157.0,6.0
8,2018-12-27,Far_West,ID,47.0,0.0,0.0
9,2018-12-27,Far_West,RPD,47.0,212.0,6.0
10,2018-12-27,North,BD,47.0,256.0,10.0
11,2018-12-27,North,MBD,47.0,15.0,2.0
12,2018-12-27,North,DQ,47.0,159.0,8.0
13,2018-12-27,North,EXD,47.0,134.0,8.0
14,2018-12-27,North,LID,47.0,383.0,20.0
15,2018-12-27,North,ERD,47.0,133.0,8.0
16,2018-12-27,North,HMD,47.0,48.0,3.0
17,2018-12-27,North,RTD,47.0,136.0,10.0
18,2018-12-27,North,ID,47.0,3.0,1.0
19,2018-12-27,North,RPD,47.0,150.0,9.0
20,2018-12-27,North_Central,BD,47.0,111.0,5.0
21,2018-12-27,North_Central,MBD,47.0,170.0,7.0
22,2018-12-27,North_Central,DQ,47.0,179.0,6.0
23,2018-12-27,North_Central,EXD,47.0,130.0,5.0
24,2018-12-27,North_Central,LID,47.0,399.0,27.0
25,2018-12-27,North_Central,ERD,47.0,129.0,5.0
26,2018-12-27,North_Central,HMD,47.0,320.0,19.0
27,2018-12-27,North_Central,RTD,47.0,197.0,14.0
28,2018-12-27,North_Central,ID,47.0,167.0,8.0
29,2018-12-27,North_Central,RPD,47.0,382.0,15.0
30,2018-12-27,South,BD,47.0,175.0,11.0
31,2018-12-27,South,MBD,47.0,92.0,6.0
32,2018-12-27,South,DQ,47.0,121.0,10.0
33,2018-12-27,South,EXD,47.0,112.0,9.0
34,2018-12-27,South,LID,47.0,399.0,24.0
35,2018-12-27,South,ERD,47.0,107.0,9.0
36,2018-12-27,South,HMD,47.0,243.0,17.0
37,2018-12-27,South,RTD,47.0,118.0,10.0
38,2018-12-27,South,ID,47.0,89.0,4.0
39,2018-12-27,South,RPD,47.0,144.0,12.0
40,2018-12-27,West,BD,47.0,189.0,10.0
41,2018-12-27,West,MBD,47.0,8.0,0.0
42,2018-12-27,West,DQ,47.0,114.0,4.0
43,2018-12-27,West,EXD,47.0,155.0,8.0
44,2018-12-27,West,LID,47.0,396.0,19.0
45,2018-12-27,West,ERD,47.0,153.0,8.0
46,2018-12-27,West,HMD,47.0,67.0,1.0
47,2018-12-27,West,RTD,47.0,127.0,9.0
48,2018-12-27,West,ID,47.0,1.0,0.0
49,2018-12-27,West,RPD,47.0,94.0,4.0
50,2018-01-02,Far_West,BD,49.0,98.0,7.0
51,2018-01-02,Far_West,MBD,49.0,389.0,24.0
